Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level
YouTube,#Fashion,Reel,USA,1853103,69910,4470,39710,Low
TikTok,#Dance,Tweet,USA,4171587,222488,80865,5536,Low
Instagram,#Challenge,Shorts,Japan,2314668,36572,67108,42772,Low
YouTube,#Viral,Reel,Brazil,2574515,461003,72910,25274,High
Instagram,#Fitness,Live Stream,Germany,1058506,361715,51528,5422,Medium
YouTube,#Tech,Post,UK,272791,237213,82161,17410,High
YouTube,#Challenge,Shorts,Canada,4147649,140624,70092,11837,High
Instagram,#Comedy,Live Stream,Germany,1724155,458079,9417,48609,Low
TikTok,#Fashion,Live Stream,Canada,560795,11735,2475,2473,High
Twitter,#Tech,Shorts,Brazil,3684146,151211,4453,10143,Medium
TikTok,#Viral,Reel,UK,3852694,253328,67715,43838,High
Instagram,#Fashion,Live Stream,UK,2103231,265912,65039,38575,Low
Instagram,#Music,Tweet,Brazil,4335301,193543,50186,36208,Low
TikTok,#Music,Post,Australia,2320627,417108,2814,15708,Medium
TikTok,#Comedy,Shorts,Germany,4869354,6608,6514,1492,Low
YouTube,#Viral,Video,UK,4774185,22677,53104,22023,Low
Instagram,#Education,Post,Germany,1147497,407471,29168,7518,Medium
Instagram,#Fashion,Post,Australia,231868,131318,92253,28352,High
YouTube,#Education,Post,Japan,725454,149682,27039,47514,High
TikTok,#Comedy,Tweet,Canada,3232841,27472,18187,21421,Medium
TikTok,#Fashion,Shorts,Brazil,1566752,176811,47917,712,Medium
Twitter,#Fitness,Tweet,Japan,4309390,362837,17128,25765,High
Twitter,#Fashion,Post,Germany,659821,13467,49239,8742,Low
TikTok,#Comedy,Reel,Brazil,3960518,376256,1871,3708,Low
YouTube,#Viral,Tweet,USA,2985117,284824,64052,41718,Low
Instagram,#Comedy,Shorts,Brazil,2148989,115422,32844,48115,Low
YouTube,#Challenge,Shorts,Germany,1463457,125302,62306,21850,High
Instagram,#Dance,Post,Australia,3989657,351332,76680,36031,High
Twitter,#Education,Post,Brazil,474838,45882,60806,27585,Low
Twitter,#Challenge,Tweet,Japan,4654777,94417,20561,44245,Medium
Instagram,#Fashion,Tweet,Canada,1390945,422057,94191,34407,Low
Instagram,#Fashion,Live Stream,Australia,4375990,99936,80353,3006,Low
Twitter,#Dance,Shorts,India,1884862,249922,29934,46886,Low
YouTube,#Tech,Live Stream,UK,5467,337597,79716,33748,High
Instagram,#Fashion,Post,Canada,2241319,22674,17632,11763,High
TikTok,#Dance,Reel,Canada,2248823,185414,40492,35212,High
TikTok,#Tech,Live Stream,Germany,702805,426213,6952,12284,High
Twitter,#Dance,Live Stream,USA,4076095,196850,15677,45746,Medium
Instagram,#Fashion,Tweet,India,2926591,5898,89,6431,Low
YouTube,#Education,Tweet,Germany,3135532,15894,55304,37035,Low
YouTube,#Challenge,Post,Australia,461899,39413,57043,36427,High
Twitter,#Tech,Video,UK,457477,157733,80500,34374,Low
Twitter,#Tech,Video,Canada,651638,88078,98083,27044,Medium
YouTube,#Tech,Tweet,Brazil,4571746,377505,16732,26086,High
TikTok,#Challenge,Tweet,UK,2573700,22478,94199,3637,Low
Twitter,#Music,Video,UK,713028,337203,25042,4682,High
TikTok,#Tech,Shorts,India,2711553,160878,41722,11012,Medium
YouTube,#Music,Tweet,Australia,1066125,188355,91094,36292,Low
YouTube,#Education,Reel,Brazil,1198497,380580,69495,13206,Medium
Instagram,#Fitness,Shorts,Australia,3358197,230451,95429,22070,High
TikTok,#Dance,Live Stream,India,487342,207862,37985,34639,Low
Twitter,#Viral,Post,Canada,2563082,362386,42588,8407,Low
Instagram,#Viral,Video,Canada,3779546,165023,94433,31987,Low
Twitter,#Dance,Video,USA,3721811,165042,49187,13883,Medium
TikTok,#Fashion,Reel,Brazil,1832938,145324,49725,26919,High
Instagram,#Music,Shorts,UK,4513361,247785,75690,4772,Low
YouTube,#Fitness,Tweet,India,1955706,361088,80015,8735,High
Twitter,#Comedy,Post,India,128846,69446,99612,12359,High
TikTok,#Comedy,Post,USA,704114,322337,98094,44086,Medium
YouTube,#Tech,Shorts,Brazil,4056382,117226,18306,30080,High
YouTube,#Challenge,Post,Canada,475805,301526,19765,33905,Low
Twitter,#Gaming,Live Stream,Germany,4086861,127508,32493,49827,Low
Twitter,#Fashion,Post,Brazil,3315249,385207,77152,46378,Medium
TikTok,#Dance,Tweet,Brazil,1685730,204532,89445,26135,High
YouTube,#Dance,Tweet,Brazil,393968,399795,93583,35968,High
Instagram,#Education,Reel,Australia,1794640,12648,44721,13884,Low
Instagram,#Education,Post,Japan,3179233,185039,69942,48453,Low
Twitter,#Fashion,Video,Australia,2112062,123124,70698,21339,High
YouTube,#Education,Live Stream,UK,4010273,247450,19950,8264,High
YouTube,#Fitness,Reel,USA,4172550,437895,11878,22267,Low
YouTube,#Fitness,Video,Germany,2400911,46562,36026,24905,Low
YouTube,#Gaming,Video,India,2694418,415576,79914,6931,High
TikTok,#Challenge,Post,Canada,664480,402282,61942,49243,High
Instagram,#Tech,Tweet,Canada,4165773,34145,78128,48750,Medium
Instagram,#Education,Shorts,UK,211233,238589,20953,15318,Low
Twitter,#Gaming,Shorts,Canada,180512,402033,81295,28799,Low
TikTok,#Gaming,Shorts,Germany,105048,249834,80882,16599,Medium
Twitter,#Education,Tweet,UK,3207258,462611,63427,11223,Medium
YouTube,#Viral,Tweet,Japan,348955,207516,90406,12674,High
TikTok,#Fitness,Tweet,Canada,4975716,395122,48100,20122,Low
YouTube,#Fitness,Tweet,Canada,4335309,121131,69437,5334,Medium
Instagram,#Comedy,Post,USA,2260606,421644,22322,46373,High
Twitter,#Music,Live Stream,Brazil,3971657,222774,54533,6548,Low
YouTube,#Fitness,Live Stream,UK,4221129,221432,27097,44357,Medium
Twitter,#Gaming,Tweet,USA,2891867,16756,88760,44092,Medium
Instagram,#Education,Post,USA,3387989,297965,12405,47576,Medium
TikTok,#Viral,Reel,USA,2280646,99060,7438,37247,High
Twitter,#Tech,Reel,USA,1038000,257996,5989,42160,Low
Twitter,#Viral,Shorts,USA,4551527,471777,18090,47750,Medium
Twitter,#Fashion,Post,India,2207974,361247,47396,5021,Medium
YouTube,#Viral,Live Stream,UK,654308,395218,70016,43978,Low
TikTok,#Gaming,Reel,India,1032891,127535,53968,43870,High
Instagram,#Comedy,Post,UK,2703906,151587,84813,5219,High
TikTok,#Dance,Video,USA,23356,253576,512,15923,Medium
Instagram,#Tech,Video,Germany,3608286,39961,57731,650,High
YouTube,#Viral,Reel,Germany,2917081,96400,33904,40818,Low
TikTok,#Dance,Post,Brazil,4634207,74646,76271,25002,Medium
Instagram,#Comedy,Shorts,Germany,2834616,321819,85915,43610,Low
TikTok,#Dance,Shorts,Australia,3927986,316772,85104,49951,High
Twitter,#Dance,Live Stream,Brazil,2438573,20586,37695,37403,High
YouTube,#Tech,Shorts,Brazil,1039646,140978,27325,15958,High
Twitter,#Music,Shorts,UK,572204,455700,85611,43242,High
TikTok,#Comedy,Reel,Canada,2055988,477781,59040,12295,Low
TikTok,#Music,Post,Germany,1811481,103117,42087,38390,Medium
Instagram,#Viral,Shorts,USA,3519149,429333,72079,42269,High
Twitter,#Gaming,Live Stream,Germany,4772651,96271,28894,22623,Medium
YouTube,#Fitness,Tweet,UK,4837174,493550,65769,12395,High
Instagram,#Comedy,Reel,Canada,4337899,360339,90144,26248,Medium
Twitter,#Dance,Reel,USA,1982470,38772,59724,2247,Low
TikTok,#Gaming,Tweet,India,2430582,247328,36608,17278,High
Instagram,#Tech,Live Stream,Germany,3215735,372038,50812,33493,Low
Twitter,#Gaming,Post,Brazil,4476274,67640,77088,2976,Medium
TikTok,#Gaming,Tweet,Australia,298203,250763,83080,26482,Low
Instagram,#Viral,Live Stream,India,1405081,174642,70414,820,Low
TikTok,#Challenge,Post,India,513589,314068,81740,24653,Low
Instagram,#Comedy,Shorts,UK,637282,358058,65689,25327,Medium
Twitter,#Gaming,Post,Germany,1744531,196250,8655,25527,High
YouTube,#Dance,Shorts,Germany,2355782,422456,36459,47807,Medium
TikTok,#Gaming,Reel,Japan,4955899,128909,63956,24994,High
YouTube,#Dance,Video,Australia,2388341,286756,98722,44285,Low
YouTube,#Fitness,Live Stream,India,2662468,395901,43291,11180,High
YouTube,#Viral,Tweet,India,4335697,323246,92331,23780,Medium
Twitter,#Fashion,Tweet,Brazil,1758597,230467,79259,7925,Medium
Twitter,#Comedy,Reel,Australia,72447,306980,66142,19162,High
TikTok,#Viral,Shorts,UK,796782,333622,27754,25313,High
TikTok,#Fashion,Live Stream,India,3922765,98519,13450,23794,Medium
TikTok,#Comedy,Video,Australia,2534406,227500,22953,8757,High
Twitter,#Viral,Video,Australia,1066350,103339,72555,6292,High
TikTok,#Comedy,Tweet,UK,2162864,24702,14264,20910,Low
TikTok,#Comedy,Shorts,UK,964406,124652,27640,1319,Low
Twitter,#Gaming,Video,USA,4988828,277908,26528,34206,Low
Twitter,#Challenge,Tweet,India,4956068,390506,15516,5293,Low
Twitter,#Music,Post,Australia,4646211,483426,49747,44836,High
TikTok,#Viral,Shorts,Germany,3837633,403999,11069,4787,Medium
Instagram,#Comedy,Live Stream,Canada,1831366,219055,32009,33612,High
Twitter,#Gaming,Video,USA,3880037,60397,71412,49228,Low
Instagram,#Dance,Post,India,4002076,199918,60118,5823,Low
Instagram,#Education,Shorts,India,1532579,318112,7994,1220,Medium
Twitter,#Viral,Tweet,Canada,3747143,10641,12421,41367,High
Twitter,#Challenge,Post,UK,4044625,130858,66782,11076,High
Instagram,#Education,Reel,UK,4410645,274766,45283,9010,Low
Twitter,#Education,Video,USA,2570250,54434,41385,16714,Medium
TikTok,#Fitness,Tweet,Japan,3447314,40473,28558,25286,High
TikTok,#Music,Shorts,Australia,4645704,248284,83794,24725,High
TikTok,#Viral,Reel,Canada,4770390,448970,59849,18865,Medium
Twitter,#Fashion,Reel,UK,4894106,434667,32954,22379,High
YouTube,#Gaming,Shorts,Brazil,1632604,444651,70531,24516,Low
YouTube,#Challenge,Post,Japan,180597,168189,47117,20562,Medium
TikTok,#Comedy,Reel,Canada,419884,80341,79803,14047,Low
TikTok,#Fitness,Shorts,Germany,1529342,292555,76539,12189,Low
Instagram,#Dance,Tweet,UK,948825,374018,84000,27438,High
Instagram,#Dance,Post,Brazil,3596292,173815,46684,30679,Low
TikTok,#Music,Shorts,Brazil,2316075,341056,63956,40502,Medium
Instagram,#Fashion,Shorts,India,3609099,34382,13782,22498,Low
Instagram,#Music,Video,Japan,4430382,11441,74391,17355,High
Twitter,#Education,Reel,Canada,4822339,453533,95846,4664,Low
YouTube,#Tech,Live Stream,Germany,2795713,379408,236,19445,Low
Instagram,#Fitness,Shorts,Brazil,1143058,108813,83246,23634,Low
TikTok,#Gaming,Reel,Germany,547143,50377,71290,360,High
Instagram,#Dance,Shorts,Germany,103062,41968,72450,12902,High
YouTube,#Fitness,Reel,India,54266,434656,76960,40771,Low
YouTube,#Fashion,Tweet,UK,3606764,485521,27501,7055,Low
Instagram,#Challenge,Shorts,Germany,2842780,3111,70197,30478,Low
Twitter,#Education,Live Stream,Canada,396861,259118,35274,27898,Medium
TikTok,#Fitness,Shorts,Germany,4112444,213599,81261,24440,Low
TikTok,#Music,Tweet,Japan,3328630,91347,82700,38362,Medium
Twitter,#Viral,Live Stream,UK,780850,18378,96218,2034,Low
YouTube,#Dance,Shorts,UK,631007,169838,42819,37051,Low
Instagram,#Challenge,Live Stream,USA,3734090,477638,19503,13683,High
TikTok,#Fashion,Video,Canada,4057482,290718,88697,48722,Medium
YouTube,#Challenge,Tweet,Japan,2422046,151082,35275,30849,Low
Twitter,#Gaming,Tweet,Brazil,2444116,438663,38040,36359,Low
TikTok,#Viral,Reel,India,2386255,369252,59222,5491,Medium
Twitter,#Dance,Live Stream,Germany,794531,34713,41353,39360,Medium
TikTok,#Viral,Reel,India,2649565,350482,73302,8582,Low
TikTok,#Fitness,Reel,Brazil,564507,224904,9554,39726,Low
YouTube,#Tech,Reel,Australia,1123373,8196,67615,20741,High
TikTok,#Fashion,Tweet,USA,3130478,414825,82640,14664,High
Instagram,#Fitness,Reel,India,1521329,324725,63572,46365,Low
Twitter,#Fitness,Post,Germany,4801627,262727,22334,7455,Medium
Instagram,#Fashion,Post,UK,1952016,9304,91696,2329,High
YouTube,#Challenge,Shorts,USA,902552,133861,42619,19775,Medium
TikTok,#Fashion,Live Stream,Japan,2407138,439022,12270,28761,Medium
Twitter,#Viral,Live Stream,Australia,3062000,78187,39581,3625,Medium
Instagram,#Fashion,Tweet,UK,1100509,307784,15477,49898,Low
TikTok,#Fashion,Live Stream,Australia,2076350,109351,36430,20601,High
Instagram,#Dance,Post,Canada,1699359,78852,19916,1843,High
Instagram,#Viral,Shorts,USA,3821272,244744,90943,48466,Low
TikTok,#Tech,Video,Brazil,112432,104899,35468,38042,High
Twitter,#Viral,Reel,Japan,2392297,433292,77815,43106,Low
Instagram,#Viral,Video,USA,3510259,64432,8488,15662,High
Instagram,#Challenge,Shorts,India,1050906,57416,10271,31691,Low
TikTok,#Dance,Reel,Canada,4613461,351092,91775,10999,Low
Instagram,#Dance,Video,USA,691653,226370,15714,32571,High
Twitter,#Comedy,Tweet,Australia,1126747,490312,30079,26934,High
Instagram,#Music,Video,Canada,3198087,152059,8360,16834,Low
Instagram,#Fashion,Reel,Australia,4165262,271304,50757,28623,Low
Instagram,#Tech,Post,USA,1563039,135115,16789,43702,High
Instagram,#Gaming,Tweet,Brazil,400678,415846,4621,28563,High
TikTok,#Tech,Shorts,India,4447357,457067,39849,14331,Low
Instagram,#Music,Reel,Australia,531906,423823,33666,9162,Low
YouTube,#Challenge,Post,UK,1277967,9345,48427,29304,High
Twitter,#Tech,Tweet,UK,3182568,154491,70768,15216,Low
Twitter,#Viral,Reel,Brazil,4663539,21164,35101,32307,High
Twitter,#Fitness,Tweet,Japan,4694072,364519,55324,20924,Medium
Twitter,#Fashion,Video,Brazil,1802668,290040,25559,1638,Medium
YouTube,#Fashion,Live Stream,Germany,2888639,155660,55476,37832,High
TikTok,#Tech,Tweet,USA,4316751,108676,86682,16376,Low
Twitter,#Comedy,Video,Germany,295470,303723,803,3736,Low
Twitter,#Music,Reel,Japan,452311,494784,86920,5601,Low
YouTube,#Fashion,Video,Brazil,4672087,123172,32997,19286,Low
Instagram,#Education,Shorts,Brazil,3158238,178678,24440,18646,High
Twitter,#Tech,Post,Australia,399911,87132,81048,3953,High
TikTok,#Comedy,Tweet,UK,4584196,344718,40922,41695,Low
Instagram,#Tech,Video,Germany,4726748,328582,45403,26119,Low
YouTube,#Viral,Live Stream,UK,3036543,8922,11495,2819,High
TikTok,#Gaming,Shorts,India,4145988,46772,34624,45318,High
TikTok,#Tech,Video,Australia,4261094,414331,77016,34159,Low
Instagram,#Fashion,Post,Brazil,2317238,96203,65181,21178,Medium
Twitter,#Music,Post,Canada,3933642,85583,99889,39360,Medium
Twitter,#Tech,Reel,Canada,2413376,222023,44351,48284,Low
Twitter,#Music,Reel,USA,1632421,324630,37308,9030,High
TikTok,#Fashion,Post,USA,2199227,110460,75602,31496,Medium
YouTube,#Comedy,Live Stream,UK,4238088,464704,79303,38696,Medium
Twitter,#Comedy,Reel,India,3302311,175383,78519,38208,Medium
TikTok,#Education,Reel,Germany,3106785,9712,90375,41997,High
TikTok,#Tech,Post,Germany,3494484,368792,77220,35614,Medium
TikTok,#Fashion,Post,Germany,3513595,99891,65709,36540,Low
Instagram,#Fashion,Tweet,Australia,3209804,26530,39753,28986,Medium
YouTube,#Fashion,Live Stream,Germany,3641903,445354,53037,37796,Medium
Twitter,#Fashion,Tweet,India,3397817,471014,75767,31710,High
TikTok,#Dance,Shorts,Australia,2045438,167012,47179,49887,Low
Instagram,#Dance,Live Stream,USA,1489412,259640,31561,24249,High
TikTok,#Viral,Reel,Japan,2107990,324551,94759,33713,High
Instagram,#Gaming,Post,Germany,4540208,23381,72573,20823,High
Twitter,#Music,Post,Australia,3722456,135147,28659,8807,Medium
YouTube,#Gaming,Reel,Australia,4820075,19851,77127,14304,Low
Instagram,#Challenge,Post,Brazil,2727232,201268,17759,4275,High
YouTube,#Fashion,Video,India,1749243,139816,95490,3867,Low
Twitter,#Fitness,Reel,USA,3578755,370590,32965,23433,High
Twitter,#Comedy,Tweet,USA,4542486,335370,7455,42264,Low
Twitter,#Tech,Tweet,Canada,349955,162950,22102,26115,High
YouTube,#Fitness,Reel,India,1863453,326354,13905,20155,Low
Twitter,#Dance,Tweet,India,759536,388100,89052,38951,Low
Instagram,#Education,Post,Australia,870453,38904,71532,942,Medium
TikTok,#Dance,Live Stream,Australia,3217287,341230,50413,1801,Low
YouTube,#Viral,Post,USA,2433851,51816,2532,22598,Low
Instagram,#Fitness,Shorts,Australia,2271759,362820,34300,2604,Medium
Twitter,#Dance,Live Stream,India,4027776,199325,98891,41321,Low
Instagram,#Tech,Shorts,Japan,3407877,297655,26196,29062,High
YouTube,#Viral,Post,UK,1368185,91832,54213,23975,High
Instagram,#Tech,Tweet,UK,4671326,484650,10588,44560,Medium
Twitter,#Challenge,Post,Australia,2413147,45851,21486,8691,Low
Twitter,#Gaming,Live Stream,Japan,971147,205361,74326,13930,Low
TikTok,#Fitness,Reel,Canada,287898,92831,33257,5160,Low
Twitter,#Comedy,Live Stream,Australia,2245957,206179,15623,3682,Medium
YouTube,#Gaming,Reel,USA,1741714,207035,62609,14662,High
Twitter,#Comedy,Live Stream,USA,2607877,146469,64229,49402,Low
Twitter,#Fitness,Tweet,Australia,2064375,166788,9163,22734,Low
YouTube,#Viral,Post,Canada,2225947,453782,45771,10934,Medium
Instagram,#Challenge,Live Stream,Brazil,1482758,35680,95504,33046,Low
Instagram,#Education,Tweet,USA,4228374,380409,92056,17760,Medium
Instagram,#Viral,Tweet,India,297878,267634,48829,47518,Medium
Instagram,#Music,Post,India,2397124,484304,78146,4295,Low
TikTok,#Fashion,Reel,UK,2784227,394246,86809,31454,Medium
Instagram,#Comedy,Live Stream,Brazil,3335191,445929,16257,7451,Low
TikTok,#Viral,Post,Canada,4582912,20781,5849,49216,Low
TikTok,#Music,Live Stream,Brazil,1210794,86602,90843,3257,Low
TikTok,#Education,Tweet,Japan,2599368,103502,74019,22948,High
Twitter,#Dance,Live Stream,India,4707489,308133,52155,27297,Low
YouTube,#Music,Shorts,Brazil,2793980,105510,61565,11195,Medium
Twitter,#Fitness,Reel,Australia,2624711,307198,71219,6193,Medium
YouTube,#Comedy,Video,UK,4381970,300506,49105,1905,High
Instagram,#Fitness,Live Stream,USA,39409,71007,41600,46694,High
Instagram,#Fitness,Post,Brazil,3499748,84192,50937,40619,Low
Instagram,#Gaming,Shorts,Canada,2030644,499249,11833,28123,High
Twitter,#Fitness,Video,Brazil,4021988,496947,98292,6829,Low
Instagram,#Dance,Reel,USA,4255189,351819,3829,20387,Low
TikTok,#Challenge,Tweet,Germany,1401182,272628,22588,31504,Low
TikTok,#Viral,Reel,Japan,3984874,115614,39890,37181,Medium
TikTok,#Comedy,Video,Japan,631935,263783,3049,40556,High
YouTube,#Gaming,Post,India,3577981,355446,61987,18325,High
TikTok,#Dance,Live Stream,USA,4661813,48452,12647,2749,High
YouTube,#Music,Live Stream,India,4153771,162185,6853,26355,Medium
Instagram,#Comedy,Shorts,India,3523284,272930,96467,47190,Low
YouTube,#Music,Video,Germany,141033,325404,4011,41320,High
YouTube,#Fitness,Video,USA,1058655,486037,47060,4660,Medium
Instagram,#Dance,Live Stream,Canada,2030560,466132,51434,46110,Low
Instagram,#Tech,Post,Canada,234535,251440,28477,22111,High
TikTok,#Fitness,Reel,Australia,3959483,363451,40906,30644,Low
Instagram,#Viral,Live Stream,Brazil,2476219,352894,54154,45066,Low
YouTube,#Music,Post,Brazil,3857161,320872,49073,49058,High
Twitter,#Fashion,Shorts,UK,4171762,41967,76316,1045,Medium
Instagram,#Music,Video,USA,3356648,113463,87529,19511,High
YouTube,#Tech,Live Stream,USA,3857226,337967,30773,37272,High
Twitter,#Education,Live Stream,USA,3147293,454319,10944,15888,High
YouTube,#Comedy,Live Stream,Australia,975369,208583,6013,40027,Low
YouTube,#Viral,Tweet,UK,4604015,496554,67838,8078,High
Twitter,#Fashion,Live Stream,Germany,279023,186319,64408,2331,Low
TikTok,#Viral,Video,UK,4887642,267244,25145,15083,Low
TikTok,#Viral,Post,UK,2513082,208085,65223,2112,Low
Twitter,#Fitness,Video,Germany,2832427,190157,12005,1268,Medium
YouTube,#Tech,Shorts,UK,780047,177389,26953,373,Medium
YouTube,#Education,Video,UK,2810890,230790,78827,2669,Low
Instagram,#Dance,Post,Brazil,26531,366987,95517,48128,Low
Twitter,#Fitness,Shorts,Japan,3868670,289592,51598,34304,Medium
TikTok,#Music,Tweet,UK,4875320,392724,47050,31603,Low
Twitter,#Gaming,Shorts,Japan,4890733,191195,76245,46882,Low
YouTube,#Fitness,Video,Canada,2980877,460881,87021,98,Medium
TikTok,#Challenge,Shorts,India,2429444,73347,34856,10627,High
Instagram,#Viral,Shorts,Brazil,2561592,417783,857,23063,Medium
Twitter,#Gaming,Post,USA,2139489,253501,29122,42801,Medium
Twitter,#Viral,Reel,Canada,3304797,79964,91333,16151,High
YouTube,#Challenge,Live Stream,India,831664,281099,74034,35394,High
TikTok,#Comedy,Reel,Canada,1896555,325635,90256,42579,Medium
YouTube,#Music,Reel,Canada,2926180,224208,89599,29486,Low
Instagram,#Fitness,Tweet,Germany,3337724,191570,71507,21918,Medium
Instagram,#Viral,Tweet,Canada,1767518,159813,39987,10720,Low
YouTube,#Music,Live Stream,Brazil,1296974,92749,71374,20625,Medium
Twitter,#Viral,Post,USA,3708594,356699,58539,21198,Medium
Twitter,#Education,Post,USA,2599117,475173,74585,31898,High
TikTok,#Challenge,Tweet,Australia,1823238,494324,85923,40077,Medium
TikTok,#Tech,Video,Germany,1600077,129716,2790,14896,Low
Twitter,#Gaming,Tweet,Australia,4518205,36025,67055,4213,Medium
TikTok,#Tech,Reel,UK,3675898,424882,5868,47233,Medium
YouTube,#Education,Post,Canada,1693131,46838,16010,46321,Medium
Twitter,#Music,Tweet,Japan,440358,161015,16528,37265,Medium
Twitter,#Challenge,Reel,USA,4332749,174493,80245,4174,Low
Twitter,#Music,Post,Canada,1776924,72352,86364,20563,Low
Instagram,#Viral,Live Stream,Canada,4388298,330555,48407,35648,High
TikTok,#Music,Post,Germany,2882534,185167,90764,24019,Low
YouTube,#Music,Shorts,Australia,2412512,455400,49741,46703,High
YouTube,#Music,Live Stream,Brazil,1550445,472372,85121,11599,Medium
YouTube,#Comedy,Post,Japan,3985203,968,67956,3471,Medium
YouTube,#Music,Tweet,Japan,3906230,212115,8663,32728,Low
Twitter,#Fashion,Reel,Australia,1945337,66807,22816,37103,High
TikTok,#Music,Post,Australia,2238529,13461,7839,12119,Low
YouTube,#Fashion,Shorts,Japan,1185769,77172,70940,21826,Low
TikTok,#Education,Post,Germany,273295,216531,53482,21529,Low
Twitter,#Fitness,Post,India,1671364,127067,2495,5413,Low
Twitter,#Music,Video,India,722275,356481,92576,5159,Low
TikTok,#Music,Post,Japan,3529332,98208,65819,48777,High
Twitter,#Fashion,Live Stream,Brazil,2061542,244871,89297,1231,Low
YouTube,#Music,Shorts,USA,1158625,120211,76162,42534,Low
Instagram,#Fitness,Video,India,819360,249139,23677,17298,High
YouTube,#Fashion,Video,Australia,4045897,414208,96075,26070,High
YouTube,#Comedy,Reel,Canada,491577,279007,74786,43588,High
Instagram,#Fashion,Reel,UK,37868,454927,20602,4792,High
Instagram,#Comedy,Live Stream,Canada,4239953,55663,86769,31454,Low
YouTube,#Viral,Tweet,India,1532152,114456,95705,32194,Medium
Instagram,#Fitness,Reel,Australia,309913,233668,86886,20588,High
Instagram,#Music,Shorts,UK,818780,44981,24326,35705,High
YouTube,#Music,Shorts,UK,4756488,185347,55971,17036,Medium
TikTok,#Viral,Video,Canada,1424172,220254,90996,21734,High
Twitter,#Gaming,Reel,Canada,2759298,242144,27139,7945,High
YouTube,#Comedy,Post,Canada,721858,449162,91563,10392,High
Twitter,#Comedy,Tweet,Japan,1202451,311058,69740,38106,High
TikTok,#Fashion,Post,Canada,3531840,194082,70643,39446,Medium
YouTube,#Comedy,Video,Brazil,2253765,438727,59697,16032,High
YouTube,#Dance,Video,Brazil,4489207,200223,76908,15045,High
Twitter,#Challenge,Reel,UK,1507283,378173,24558,9605,Low
TikTok,#Viral,Video,Canada,4428383,105620,55893,8168,Medium
YouTube,#Dance,Post,India,3762530,197063,39052,11363,High
TikTok,#Challenge,Tweet,India,3646904,398181,9171,20163,High
TikTok,#Fashion,Video,Brazil,110071,424227,44869,1792,High
YouTube,#Music,Reel,Canada,4003544,494378,79405,21049,High
Twitter,#Gaming,Reel,Canada,3047152,462966,98217,28891,High
Instagram,#Fashion,Tweet,Australia,3233160,397430,48054,5915,High
Instagram,#Dance,Live Stream,Brazil,853710,449205,79352,18209,High
Instagram,#Fitness,Video,Brazil,1120916,125751,65533,15013,Low
TikTok,#Gaming,Tweet,Australia,2067844,424988,14387,41987,High
YouTube,#Tech,Live Stream,Canada,3461714,492070,41239,14029,Low
YouTube,#Fitness,Reel,Germany,1752782,343059,44339,20919,High
YouTube,#Fashion,Shorts,UK,1655182,353876,55327,12793,Medium
YouTube,#Fashion,Video,USA,4855651,304813,25847,27390,Low
TikTok,#Challenge,Tweet,Japan,1839502,136831,56756,37198,Low
Instagram,#Gaming,Post,India,3428164,338911,99243,18226,Low
Twitter,#Comedy,Shorts,USA,2051301,418379,78834,35131,High
Instagram,#Education,Post,UK,2322338,344964,48344,19822,Low
YouTube,#Challenge,Video,UK,1546514,462049,10948,5720,Low
Instagram,#Dance,Post,Japan,3236693,354205,98081,45380,Medium
TikTok,#Comedy,Post,Canada,1733587,64486,7705,46480,High
Instagram,#Viral,Video,Australia,2948068,200500,50312,4179,Medium
TikTok,#Dance,Video,Australia,892935,148751,17295,25141,High
Twitter,#Tech,Video,USA,4274005,260121,42176,33715,High
Instagram,#Music,Video,Canada,1405829,228388,4628,10107,Low
YouTube,#Music,Live Stream,Australia,440801,435945,79651,6051,Low
Twitter,#Tech,Tweet,Brazil,1357441,388944,62108,22302,Low
Instagram,#Fitness,Post,Germany,613581,340814,15805,34558,High
TikTok,#Fitness,Video,Brazil,4155659,447547,81762,7354,High
YouTube,#Education,Reel,Japan,3146159,128178,52353,48139,High
TikTok,#Fitness,Live Stream,Canada,4561998,433892,13968,41674,Medium
TikTok,#Comedy,Video,Canada,1258147,114548,75062,5195,Low
YouTube,#Fitness,Live Stream,Japan,759304,289598,90867,28354,High
TikTok,#Fitness,Video,USA,4035840,146142,67286,46736,Low
TikTok,#Viral,Live Stream,Australia,473117,177746,40508,10764,Medium
YouTube,#Tech,Reel,Canada,3837701,34026,11671,48725,Low
YouTube,#Dance,Tweet,Canada,3940029,37059,29642,26332,High
Instagram,#Viral,Live Stream,Brazil,3442649,448032,36711,48874,Medium
Twitter,#Challenge,Live Stream,Australia,3922748,50348,92144,19648,Medium
TikTok,#Education,Video,Japan,4326820,253332,19538,26317,Low
TikTok,#Dance,Post,Brazil,2075502,161209,47279,11783,Low
YouTube,#Viral,Reel,USA,3709713,180551,28942,24102,High
YouTube,#Fitness,Live Stream,UK,318153,139099,36928,11688,Low
YouTube,#Fitness,Tweet,Australia,2662851,13209,44256,42595,Medium
YouTube,#Gaming,Video,Brazil,2035129,76855,3962,13400,High
Twitter,#Music,Tweet,UK,2722178,260133,32788,48301,Low
YouTube,#Comedy,Tweet,UK,4242550,489296,20200,6399,Low
TikTok,#Fashion,Shorts,USA,4255337,236358,81105,43056,Medium
Twitter,#Viral,Post,Brazil,817713,125792,35355,5263,High
TikTok,#Education,Post,UK,4266731,179238,79039,23497,High
